Date,Category,Amount,Payment Method,Description
2024-09-23,Education,272.14,Cash,Pass pick themselves nearly high adult.
2024-07-02,Education,464.42,Online,Already forget us painting toward general rich.
2024-09-25,Bills,236.76,Card,Region market result between pass PM trip.
2024-08-04,Education,459.6,Card,Happen bring Mr thing among third.
2024-09-23,Entertainment,467.44,Online,Somebody professional law check various red.
2025-03-19,Education,143.53,Card,Do service try ever.
2024-07-24,Food,422.67,Cash,Woman go miss share leg stock beyond.
2025-02-20,Transport,41.53,Online,Talk consumer how water interest put raise.
2024-05-25,Health,199.82,Card,Open camera movie sing here ask serious.
2024-06-17,Miscellaneous,163.01,Cash,Not significant fire practice.
2024-12-19,Education,319.19,Online,Lose hot challenge success evidence.
2024-12-18,Transport,460.98,Online,Research through region knowledge few author along common.
2025-02-14,Food,95.31,Online,Center hair nearly guy point.
2024-09-13,Health,47.69,Card,Available decade something area society spring act.
2024-04-10,Bills,265.1,Card,Head fly station rest yes lose.
2024-07-03,Entertainment,6.62,Cash,Truth clear model claim night data.
2024-04-09,Education,194.01,Card,Statement daughter time hear country assume.
2025-02-26,Transport,223.7,Cash,Room form hope positive same sign opportunity.
2024-12-12,Entertainment,397.84,Card,Call significant chair probably impact determine sell.
2024-06-27,Food,173.64,Card,Adult good reflect son director.
2025-01-25,Transport,219.3,Online,Production right set generation heavy.
2024-09-25,Shopping,340.59,Cash,Late argue collection name series conference always.
2025-03-25,Miscellaneous,444.44,Online,Race build difference.
2024-07-12,Food,159.52,Cash,Apply discover other clear role.
2024-11-20,Education,66.02,Online,Brother loss since home.
2024-05-05,Entertainment,114.81,Online,Ready point purpose ask structure speak.
2024-04-15,Food,34.71,Card,Card popular decision fear mean remember conference fight.
2025-01-24,Miscellaneous,303.1,Online,Skill reveal consider true score keep six.
2024-08-24,Health,432.63,Cash,Also including become degree lose once sense.
2024-06-24,Health,82.23,Cash,All free laugh fly or end worry.
2024-05-03,Food,64.87,Card,Exactly understand read good focus development already.
2025-02-09,Shopping,364.5,Cash,Choice like response investment hour evidence score.
2024-05-03,Bills,443.39,Cash,Lot account include wish beautiful with.
2024-09-08,Bills,487.7,Cash,Structure where inside participant car begin.
2025-02-17,Shopping,497.17,Cash,Better magazine trouble game read care.
2024-09-18,Health,417.83,Cash,Audience take company allow week.
2024-12-07,Miscellaneous,460.73,Card,Phone long coach team catch bag represent but.
2024-11-28,Transport,236.74,Card,Spend stop senior.
2025-02-25,Health,110.16,Card,Much head thousand half traditional particularly.
2024-05-03,Bills,41.07,Card,Today lose reason serve forward act would glass.
2024-10-08,Transport,154.32,Cash,Body quite common.
2024-10-07,Bills,424.23,Online,Sound thus behavior on foot.
2025-01-26,Transport,438.09,Online,Occur or mention half step personal push.
2024-12-30,Transport,491.56,Online,Somebody increase bad what.
2024-11-04,Entertainment,316.13,Card,She bill scientist.
2024-04-07,Education,345.02,Online,Experience truth ok dinner about boy none player.
2025-02-08,Food,421.61,Cash,Focus argue enough magazine.
2024-09-20,Bills,353.27,Card,Try college dog firm anyone help.
2024-09-05,Education,223.86,Online,Police fact data appear identify.
2025-03-28,Health,258.81,Card,Teach run sound quickly.
